text,label
Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report),non_functional
The system shall display the online help upon request.,functional
The system shall provide shopping cart during online purchase.,functional
"Os usuários normais podem apenas ler as informações, mas não podem editar ou modificar nada, exceto suas informações pessoais e outras informações.",non_functional
"O produto estará disponível 24 horas por dia, sete dias por semana.",non_functional
O relatório de auditoria estará disponível para outros avaliadores posteriormente.,functional
O sistema deverá possuir um sistema de ajuda que ofereça dicas e explicações sobre cada tela e cada item das telas mediante solicitação.,non_functional
The system shall allow the user to modify the equipment requirement set of an already submitted meeting response.,functional
O relatório de auditoria deve incluir o número de peças recicladas disponíveis nos resultados da pesquisa original.,functional
The system shall notify the use about the financing request.,functional
O produto criará um registro de exceções de problemas encontrados no produto para transmissão à nossa empresa para análise e resolução.,non_functional
Entre em contato com os fornecedores e dê permissão para vender seus produtos no site após testar a qualidade do produto.,functional
Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,non_functional
Espera-se que o produto se integre a vários sistemas de gerenciamento de banco de dados. O produto irá operar com Oracle SQL Server DB2 MySQL HSQL e MS Access.,non_functional
As informações do paciente selecionado ou especificado são carregadas.,functional
O sistema deverá ser capaz de lidar com todas as solicitações/usos do usuário durante o horário comercial.,non_functional
The system is expected to have reasonable short time response. The voter should be able to login and should be able to get response for his requests in 2-3 seconds.,non_functional
As classificações atuais da instalação de reparo devem ser exibidas ao usuário.,functional
The website will use standard Internet conventions when interacting with the user.,non_functional
Since the software must run on several popular hardware platforms and the goal is to achieve a reasonable level of platform independence.,non_functional
The system shall be built such that it is as secure as possible from malicious interference.,non_functional
O sistema deverá interagir com o servidor mestre do aluno.,non_functional
PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,functional
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,functional
"Quando um navio é afundado, o produto simulará o som de um navio afundando.",non_functional
The available recycled parts information and their suppliers shall be returned to the user.,functional
O produto funcionará junto com o software de servidor em qualquer sistema operacional onde o Java Runtime possa ser instalado.,non_functional
Deve atualizar apenas as partes que foram alteradas ao se conectar ao servidor.,non_functional
"Todos os usuários autorizados, uma vez autenticados, devem poder fazer logon no Sistema de Disputas",non_functional
The System shall allow for a minimum of  6 users to work at the same time.,non_functional
One insurance company shall not be able to view another insurance companys claim data.,non_functional
A procura pela oficina de reparação preferida não demorará mais de 8 segundos.  A oficina de reparo preferida é devolvida em 8 segundos,non_functional
A aplicação deve ser executada em um servidor de aplicações web.,non_functional
O produto permitirá que um jogador termine um jogo a qualquer momento durante o jogo.,functional
The product shall be used in office environments.,non_functional
As respostas às consultas não levarão mais de 7 segundos para serem carregadas na tela após o usuário enviar a consulta.,non_functional
The application should be connected to the GPS device.,non_functional
Responsible for informing administrator when any product item’s stock goes under the minimum level.,functional
O sistema deverá permitir que o usuário modifique o conjunto de requisitos de equipamento de uma resposta de reunião já enviada.,functional
All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.,non_functional
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,functional
O produto deverá ser capaz de lidar com um grande número de jogos simultaneamente.,non_functional
A class shall be either a non-clinical class or a clinical class.,functional
The user shall enter new ratings based on the audit report,functional
"Para estimadores, o produto deve poder ser operado em instalações de reparos em condições de sujeira e ruído.",non_functional
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,functional
O sistema consultará o usuário sobre a quantia em dinheiro.,functional
Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,non_functional
The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,non_functional
The preferred repair facility shall be returned to the user.,functional
O sistema deverá exibir o horário local e de exercício em relógios separados,functional
O produto deverá ser capaz de excluir equipamentos da sala.,functional
O sistema permitirá ao usuário alterar a senha.,functional
On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,non_functional
The system shall allow the initiator to view the information of any meetings which they initiated.,functional
As respostas para visualizar informações não levarão mais de 5 segundos para aparecer na tela.,non_functional
The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,non_functional
O usuário poderá obter instruções de direção para uma propriedade selecionada,functional
Os Administradores do Programa/Membros da Equipe de Enfermagem poderão criar um novo Programa de Estudos.,functional
"Quando o golpe resultar no afundamento de um navio, o produto deverá marcar o navio como afundado na grade defensiva do jogador defensor.",functional
